,exchange,transferstrat,median_SR,mad_SR,mean_SR,sd_SR,median_CR,mad_CR,mean_CR,sd_CR,median_MDD,mad_MDD,mean_MDD,sd_MDD,median_ANN_RET,mad_ANN_RET,mean_ANN_RET,sd_ANN_RET,median_ANN_VOL,mad_ANN_VOL,mean_ANN_VOL,sd_ANN_VOL,median_SortR,mad_SortR,mean_SortR,sd_SortR,median_DownRisk,mad_DownRisk,mean_DownRisk,sd_DownRisk,median_VaR,mad_VaR,mean_VaR,sd_VaR,median_TailR,mad_TailR,mean_TailR,sd_TailR,median_Skew,mad_Skew,mean_Skew,sd_Skew,median_Kurt,mad_Kurt,mean_Kurt,sd_Kurt
944,Europe_UKX,100_global_lstm_linear,1.2414187902728306,0.7236986391213955,0.9974553381571261,0.8462801238511208,0.6659544423194312,0.5823397334680422,0.714770203887989,0.6937197272746025,-0.3194548925898148,0.08023519499419814,-0.3184097269442924,0.10650232885487433,0.2034876696952989,0.19778068629909593,0.2247786265569302,0.22938989757382208,0.1930484517550804,0.041436688233082206,0.18769095919334108,0.05378328081415861,1.9043050251365443,1.1748793407556377,1.6438652431126646,1.3690877121099871,0.1237710876284825,0.024513285524169946,0.1212681560023548,0.03403900014676128,-0.0161542834667584,0.0008127210309432216,-0.016760232267535567,0.0008643153986666049,1.2730826771656285,0.14100683564126448,1.1695361818836671,0.1499684742820759,0.4798211805318467,1.3917293351892945,0.9335616133741493,5.6148114893553265,9.952542269084685,80.40019720078178,54.256080758208455,354.6005078344501
945,Europe_UKX,100_global_lstm_lstm,0.2645785105030308,0.22998187364815845,0.25712950124961753,0.32416337473550544,0.0818435755907718,0.14450819719244773,0.12180514259363275,0.23108872917987294,-0.2436641734378717,0.14475276691982858,-0.2729856556169476,0.17083200907259358,0.0192531961493411,0.03230318113066227,0.02507794784213064,0.04701570065595737,0.1079900161206273,0.04994804132183939,0.10859607667794281,0.06288976890634662,0.3919482007618792,0.33689522614297307,0.3830338715785041,0.4679101389359657,0.0756362884355221,0.03460220912126105,0.07523372241733284,0.04372137303363725,-0.0113036292806785,0.00015363317979833328,-0.0111920698655353,0.00016341295912709381,1.0561189272006175,0.04092295936695087,1.0256156070046276,0.04352091453320537,0.1025941487150642,1.0081633144595672,0.5548106851976714,3.9212550364472953,7.926754993359834,51.181208591417295,37.05854792307674,220.36054453120784
946,Europe_UKX,100_no_transfer_linear,0.7021729873480315,0.38734741595297556,0.5041268850986228,0.5005571085796755,0.2933504009063509,0.21190910316832795,0.2840316794305457,0.2865423771566922,-0.0257216270076608,0.0163981693824687,-0.03231104328750894,0.02363534349500364,0.0083801045700697,0.007181975939642086,0.008509152557252866,0.00940119557953201,0.0134123535641651,0.005543704038500834,0.014594459027700282,0.00700986049952478,1.1810220871350776,0.641365519156646,0.9001573244859709,0.8262970231890296,0.0083818911953759,0.0033365733768098535,0.008923206530015184,0.004354840697975199,-0.0010972963454921,1.005331915728888e-05,-0.0010897563561241333,1.0691477067635287e-05,1.1703149178228665,0.08805440452749329,1.1042741144272463,0.09364386348238198,2.3369671682868445,2.9490725405354614,3.3781149796224326,4.961744661965231,57.0839894904696,87.03624152000738,101.12005359990471,229.0485268745984
947,Europe_UKX,100_no_transfer_lstm,0.4013222893994137,0.2670810599683445,0.34597179436678216,0.3671616310867771,0.1458136509054899,0.15780156911241539,0.1772375998206588,0.2725304728138082,-0.0763701874366468,0.03985291823097256,-0.08556530081716017,0.050748861772542536,0.0112319655944892,0.013614428126197039,0.012648995955940387,0.02045340563585543,0.0336578746540141,0.013431641369000564,0.034984434441756286,0.01788673421867552,0.6213241032655724,0.40935487859251296,0.5445325724630486,0.5752358688626751,0.0228738664108613,0.009136341321044749,0.02356232592421363,0.01224971292719557,-0.0033628356749367,1.6984626853866827e-05,-0.0033500972047962995,1.8062765706468226e-05,1.0877419368076524,0.05303776285823509,1.0479636146639761,0.05640445871116847,0.4340300260895037,1.6522910468777774,1.2692972790403065,4.019063888019588,14.011607703025245,64.88896369862296,54.12293012487717,208.61150441000274
948,Europe_UKX,10_global_linear_linear,0.6053972713619744,0.4451826631036333,0.4925546376463176,0.5800181345137968,0.2467499623874632,0.2816689766401661,0.2819933518454522,0.370246915310498,-0.3263733542073594,0.13686425353247578,-0.353076244863277,0.16707821281530696,0.0809719339483401,0.10029122836419838,0.09699765697425232,0.13511078748875716,0.1694303046786922,0.05645517190248056,0.17556472606057721,0.07294766809691006,0.9132315677830924,0.7018934659174463,0.8209045347877945,0.896968484620005,0.1092672170879015,0.03600990000297331,0.11363092830644321,0.04606245828427052,-0.0149059640494376,3.2497335523289095e-05,-0.014881591047795134,3.456017978446352e-05,1.180772243221735,0.08532486971909116,1.1167785909324166,0.09074106507791818,0.6694579608699129,1.9753448862137992,1.6878050962314044,4.623511743425217,20.18420604761973,76.29315762231937,66.50412492685896,257.4365662485479
949,Europe_UKX,10_global_linear_lstm,0.2595237917506211,0.26637343916942746,0.20863581168142384,0.36219123092106964,0.0720458492337081,0.1460330167277395,0.10215571257182397,0.23399319174493485,-0.2668586221110051,0.167117347747609,-0.29812601349546364,0.20622280831561543,0.0190451315982598,0.035350463513651204,0.024499359795738227,0.04808680251439772,0.1148220831611607,0.06605901939184827,0.12088597165632983,0.07746553854715642,0.3754216898170551,0.3842589515214347,0.31473028408711906,0.5140351986857196,0.0799797367936897,0.045669970016442095,0.0839475538406041,0.053647199186749886,-0.0128925779018842,0.00017913635467651083,-0.012765358349954967,0.00019059692331096158,1.0577973720000624,0.03871791852228879,1.029002212269955,0.04117611048599069,0.0643238166673495,1.0707010886396902,0.5523475218151642,4.09422054964168,8.029662751653953,54.79498255133313,39.10625223772904,234.0202298021747
950,Europe_UKX,10_global_lstm_linear,0.2043114360409325,0.3002456354843898,0.12952390484809087,0.38705588822152875,0.0447169975053552,0.14027677971574962,0.07026658743185071,0.2214389017590811,-0.2380068142267439,0.20345000985609257,-0.295254423994791,0.23660728600857414,0.004636282796248,0.03363671213025386,0.011729458490839268,0.05053061155046909,0.0893941136536936,0.07181713394214224,0.1073676362800967,0.08619932369403593,0.2921291406293295,0.42983810762731256,0.2025670306838193,0.5504649695803339,0.062445190948032,0.05014379871301989,0.07495322760420575,0.060112427642215575,-0.012075826832428,0.00037454840223437715,-0.011800089686401368,0.0003983462590483753,1.0308971464951766,0.018693812635473865,1.0180653942838505,0.019904245855141396,0.0308581488645442,1.0169349103263787,0.40567097291145804,3.6175284917727057,10.04909486237126,45.74289575130167,37.92538178729128,186.12884525079457
951,Europe_UKX,10_global_lstm_lstm,0.2576655807775571,0.2432520684223405,0.23180907427973127,0.3392895284428384,0.0745803337706554,0.1364213794551674,0.10394077882246361,0.2168843660025393,-0.2649053253024258,0.1455077227331454,-0.2785573336895396,0.18363080636650386,0.0146566091081576,0.031409879693441514,0.021658622935767386,0.042548058153721466,0.1095541669596549,0.05209641976098297,0.10860875200715937,0.06513143429775387,0.378588219607775,0.35519224121731935,0.34718649183275707,0.48881854033005484,0.0768925313502741,0.03616945251819525,0.07550781097077952,0.04513891954658704,-0.0115268552846127,0.0003631756629335782,-0.011259370036704165,0.0003862498878704451,1.0464307724191355,0.023605107291880884,1.029425746824235,0.025110014444581566,0.1022489926537947,1.0275539460764067,0.5540489885081401,4.024382676689894,8.311287014632315,53.27981239675905,38.41140105336683,230.0358821333262
952,Europe_UKX,10_no_transfer_linear,-0.0494900567718496,0.32724140505887755,-0.01661310458312679,0.4059298294505448,-0.0112100101683529,0.13569759026701714,0.04367522974469744,0.2070505598289795,-0.0642787572640538,0.0697534100175758,-0.09557201760473019,0.09398649661515124,-0.0007168363523927,0.005896128720989256,-0.000784235004175673,0.00786687075573644,0.0178831716164871,0.008339153084839158,0.01926222995621622,0.010133537255563919,-0.0750369817290249,0.4713047937712604,-0.001250027944409582,0.5800932194577562,0.0124758564763419,0.00594205746038532,0.013531761552248826,0.007260487593756453,-0.0019773279340939,0.00011921325875684439,-0.0018879179900262667,0.00012678059874710986,0.999365814607072,0.0019548279873768206,0.9978996936165395,0.002078915258853466,0.135481309800038,1.337748622823472,0.5801256625216415,4.163042624225359,12.720845489204937,63.54095687722769,51.63502738955472,221.81327800031218
953,Europe_UKX,10_no_transfer_lstm,0.191759760811057,0.30238301132356954,0.13491352056649866,0.39208100146674507,0.0484848836362755,0.14234229605810672,0.0924534434701626,0.22175893814933953,-0.0572765667728754,0.04947276036382343,-0.07672346626210044,0.06634850525175644,0.002212467643303,0.007916105393037214,0.004041489367954913,0.01124690834004375,0.0205213076377028,0.01426334389676256,0.023369049475928497,0.017875926577889747,0.2686373170682909,0.4336822340724143,0.20884554601123367,0.5563248756325243,0.0139332386854489,0.009898784017295879,0.016258161179477905,0.012495688073613532,-0.0024952503587468,2.7246814357244412e-05,-0.002474815247978867,2.8976369526216655e-05,1.0382266651927523,0.029100234708090866,1.0164014891616844,0.030947440062000505,0.1194544813822056,0.9986147340193218,0.5835240519212732,3.7614054902916974,8.125413815722238,49.19514076649971,36.479701137829224,209.7936247733041
