exchange,transferstrat,SR
MEA_DFMGI,1000_global_lstm_lstm,-0.03803177176838287
MEA_DFMGI,1000_no_transfer_linear,0.2719804283574576
MEA_DSM,1000_global_lstm_lstm,-0.164457619085124
MEA_DSM,1000_no_transfer_linear,0.18175844176019681
MEA_EGX30,1000_global_lstm_lstm,0.8077613554829793
MEA_EGX30,1000_no_transfer_linear,0.7583427459822971
MEA_FTN098,1000_global_lstm_lstm,0.4855680077921597
MEA_FTN098,1000_no_transfer_linear,0.5505481860957603
MEA_JOSMGNFF,1000_global_lstm_lstm,0.16618568649207716
MEA_JOSMGNFF,1000_no_transfer_linear,-0.14461311836129992
MEA_KNSMIDX,1000_global_lstm_lstm,0.12049241208067543
MEA_KNSMIDX,1000_no_transfer_linear,0.735777411500147
MEA_KWSEPM,1000_global_lstm_lstm,0.0938694798492016
MEA_KWSEPM,1000_no_transfer_linear,0.6967467520790467
MEA_MOSENEW,1000_global_lstm_lstm,0.26125240176173564
MEA_MOSENEW,1000_no_transfer_linear,0.9458063597238455
MEA_MSM30,1000_global_lstm_lstm,0.020745684206186908
MEA_MSM30,1000_no_transfer_linear,-0.13756794287329077
MEA_NGSE30,1000_global_lstm_lstm,0.6874516407920724
MEA_NGSE30,1000_no_transfer_linear,0.8155904479521361
MEA_PASISI,1000_global_lstm_lstm,0.23075068630785894
MEA_PASISI,1000_no_transfer_linear,0.3840820422729795
MEA_SASEIDX,1000_global_lstm_lstm,-0.19072210852402244
MEA_SASEIDX,1000_no_transfer_linear,-0.12698167092912074
MEA_SEMDEX,1000_global_lstm_lstm,-0.29846511365075623
MEA_SEMDEX,1000_no_transfer_linear,0.6284928682345848
MEA_TA-35,1000_global_lstm_lstm,0.2506278190564059
MEA_TA-35,1000_no_transfer_linear,0.08803077279674826
MEA_TOP40,1000_global_lstm_lstm,0.28937256435061504
MEA_TOP40,1000_no_transfer_linear,0.28644522508054576
