transferstrat,median_SR,median_CR,median_MDD,median_ANN_RET,median_ANN_VOL,median_SortR,median_DownRisk,median_VaR,median_TailR,median_Skew,median_Kurt,mad_SR,mad_CR,mad_MDD,mad_ANN_RET,mad_ANN_VOL,mad_SortR,mad_DownRisk,mad_VaR,mad_TailR,mad_Skew,mad_Kurt,mean_SR,mean_CR,mean_MDD,mean_ANN_RET,mean_ANN_VOL,mean_SortR,mean_DownRisk,mean_VaR,mean_TailR,mean_Skew,mean_Kurt,sd_SR,sd_CR,sd_MDD,sd_ANN_RET,sd_ANN_VOL,sd_SortR,sd_DownRisk,sd_VaR,sd_TailR,sd_Skew,sd_Kurt,non_zero_count
Buy and hold,0.17581353413329065,0.11467245180222663,-0.008089914937370199,0.0009678711250678037,0.00529638067432305,0.2635006137274489,0.0035742446848808,-0.00048121666998554146,1.0250352397527953,0.1364321586487528,4.800374335492375,0.45160086330138094,0.3817486002580791,0.009528497836155166,0.0046621952959620535,0.0058521334974759726,0.713378113360198,0.0037720997684954497,0.00043540686718367534,0.04807409967969135,0.9983656917108414,20.401204576475074,0.21625497504593688,0.268739746073306,-0.012745172324186625,0.00243365012555807,0.00807870353802992,0.3870508880054009,0.005339957244627906,-0.0007275111868300778,1.0467578553991963,0.305938114600463,16.83610195193715,0.5770564585117273,0.5619040580636971,0.01482543797861911,0.010821315478690762,0.010987433199987377,1.1285094441580172,0.005845664525492973,0.0006657658761682498,0.0666324287564477,2.4817535715176433,52.619288299171195,
CS Mom,0.11197475739204567,0.0678370255377363,-0.011513679267145575,0.00041254335180842497,0.0069691786098788,0.17755713137283358,0.004633911027195225,-0.0006831083830776249,1.0111654865289714,0.4335936950599312,15.429243951230514,0.4413850028262038,0.34766924255138804,0.024686012240878234,0.006882364734682665,0.012296031541678028,0.7037393144620363,0.007996275844491085,0.0006555397034194594,0.040403309057653825,1.6881575933192547,29.793738137684297,0.12376145630505472,0.21709710721965458,-0.025545118048831535,-0.0006497644034855209,0.01363785629857772,0.28465328714248483,0.008962897404372618,-0.0010291204688711523,0.9996629892499129,0.826719147615688,32.46517519875587,0.5680314154774713,0.504185768556811,0.046744977384512436,0.017675746370828613,0.032337632473911755,0.9483198641474785,0.01682163729907553,0.0009944029200846477,0.054750785194982984,3.171010038032456,63.45459751712756,
Risk_parity,0.18846362180252527,0.12121858774881569,-0.0074700029428953745,0.000959253114155575,0.00514107082444265,0.2774226487586364,0.0034935766415302,-0.00043645299995024786,1.0474378619001394,0.13800570421060554,5.502766687688949,0.4660475317134927,0.39394046265713195,0.009420323849833,0.004542262769013659,0.005275134027832293,0.7214001987938886,0.003674767251310492,0.00043289468269442315,0.05626858429706219,1.2173404301545112,25.813704809066685,0.22724533253284432,0.28283858218250235,-0.012535626603431271,0.002235440779710452,0.007648943288933745,0.39562329681744435,0.005240098897564934,-0.0006982970520755753,1.0605681835049443,0.28770849624162076,21.02105350907643,0.5923109563237653,0.5418620641655,0.01481378668064581,0.009288482051378999,0.008276176420500221,0.9316263979312824,0.00580093314625689,0.0006653557432155842,0.07097929989277359,2.9510958464802584,62.71752923694385,
TS Mom,0.11631860309034345,0.07083390519834182,-0.010516339448174676,0.000372079528250075,0.006089993781029875,0.1820525880282337,0.004112976713994525,-0.0005890177214366999,1.0068508385404833,0.36855494220347673,11.169767571554242,0.4443567889407355,0.3394620766597314,0.021269051024328953,0.006064639767973342,0.010518001552758062,0.6845021860230831,0.006812737165838788,0.0005697497105486919,0.038368368943502304,1.3902535109738594,24.310985229850573,0.11273806169453102,0.2068976112853867,-0.022605567944720607,-0.0006662457596700885,0.011915926953018923,0.2468147354786074,0.007852642094194449,-0.0009118552629472016,0.9988205444177698,0.6286730023771765,25.400485034860807,0.5815837722362887,0.4826692642505357,0.041874933639054014,0.015785775744435255,0.02948761666424928,0.9071953435884741,0.015045732605729934,0.0008624946947346109,0.05435202193079361,2.781114965672422,54.45906303277132,
QuantNet,0.18113635942709047,0.10155170297666997,-0.1792461856776577,0.013283567896024076,0.11846725330680087,0.27114855862499,0.08094036989327467,-0.011568116940091648,1.0445596094735985,0.1035422738834743,10.165209441396959,0.46003562736371956,0.44111581666230065,0.08981851922453164,0.06433244245434325,0.04525302723431645,0.7172217479562577,0.03225701883830076,0.002187454322040698,0.06676857273467886,1.2515973797438764,22.772138230230116,0.20701966494600976,0.28607972966758005,-0.19709458152632375,0.022833333098733616,0.1225233227007747,0.3852877478972953,0.084812743740665,-0.011052782279484525,1.062760808128148,0.019801496294773648,23.649569316300017,0.6008478393442115,0.860163569544303,0.11946814661002274,0.10318928603154426,0.06352417154291114,1.00391658364625,0.04722615680184659,0.002771220842656828,0.08762649816894914,2.655670260613315,52.10964655204444,2212.5
No Transfer Linear,0.10057578832811703,0.06100963789727273,-0.00864413619250395,0.00043652215142179996,0.0050029244155614,0.1465834987928716,0.003385197045211175,-0.000427560697752825,1.039255687517064,0.21949857190288874,22.47984850488469,0.5059037639282239,0.4991464619470558,0.006497850338528635,0.003635304321423108,0.0033526133092036045,0.8556483545272038,0.002221857172036144,0.00015340231769020495,0.0865771007522986,2.205612462879437,38.059633038782266,0.1430881471912957,0.31258209685842503,-0.011095753034373114,0.001337022218773773,0.0062573333487958935,0.36804900134493507,0.004202516848496392,-0.0004391991908038379,1.0656294299473856,0.3004895376361555,44.268575670097256,0.6658017548743569,1.1475062324972622,0.010507560536713203,0.0066659081012841286,0.00571062572265455,1.3313847949617084,0.004016369328248244,0.00018564231573531346,0.11638487351656956,3.8169625434376755,69.47558836731284,2212.5
No Transfer LSTM,0.17861725262116537,0.09728912805249625,-0.08955210665573357,0.006339707226615075,0.0569844382338813,0.27114265919574493,0.03936010623856775,-0.0057331888018205,1.0579355653057976,0.10125456906119627,13.200655569263795,0.49935648537954724,0.5310935774706909,0.07280712089310946,0.04081505048505521,0.04049682431336829,0.8011006816057027,0.028100731184893642,0.0030229388328142197,0.08254164958528465,1.4556645260827727,26.817033596776625,0.24416132105620716,0.3638370837984048,-0.11442579141213426,0.01616235561225246,0.07034666579003242,0.4597130602498773,0.04845539046246902,-0.006226676792263356,1.0822201547202734,0.168422715250318,28.86621847371183,0.6549664516680267,1.2179054870617545,0.10188531043853274,0.07757586140253923,0.05640599780167481,1.1784423115874942,0.03934782648508173,0.0038657070721975608,0.10089974897718607,2.926239447996491,58.05893331460261,2212.5
